,speaker,recording,year,topic,VowelN,t1,t2,timetoIPend,VowelQ,vstress,word,wstress,VoiceQ,hnr_mid,hnr_mean,f0_mid,f0_mean,duration,center
0,S01,21_06_14_esperar_61,2021,new topic,5,9.85706340531881,9.904132604332215,0.6300779273108468,a,4_pre_n,habia,,,4.022396489834169,4.645895736620497,124.69644649603283,125.50502622485953,0.04706919901340534,9.880598004825512
1,S01,21_06_14_esperar_61,2021,new topic,4,9.931471450560949,10.027887390475504,0.5556698820687078,ia,3_pre_n,habia,,,6.575697139811895,10.318624855171816,161.48484980692547,158.27989883341314,0.09641593991455544,9.979679420518227
2,S01,21_06_14_esperar_61,2021,new topic,3,10.121075606208308,10.153720373265992,0.3660657264213487,ee,2_pre_n,que,,whisper?,-26.346300856111768,5.735988728008483,151.58751311209147,152.24906690005463,0.032644767057684376,10.13739798973715
3,S01,21_06_14_esperar_61,2021,new topic,2,10.275948454574996,10.327572737363893,0.21119287805466058,e,1_pre_n,esperar,ultimate,whisper?,6.066328974918533,7.69775692104602,145.2280141598634,148.30043491906432,0.051624282788896636,10.301760595969444
4,S01,21_06_14_esperar_61,2021,new topic,1,10.349588975612098,10.461331809776095,0.13755235701755808,a,n,esperar,ultimate,whisper?,10.0800689622906,6.734063753985579,189.10728717627217,179.7790605260204,0.11174283416399611,10.405460392694096
0,S01,00_04_03_brevemente_43,2000,same topic,5,8.913451016565245,9.084125185128833,0.7857958648538865,ia,3_pre_n,día,,,14.989352095467948,14.81910001188654,187.35334845875315,183.01811731427537,0.17067416856358797,8.99878810084704
1,S01,00_04_03_brevemente_43,2000,same topic,4,9.182392130665445,9.223767686680858,0.5168547507536871,e,2_pre_n,brevemente,penultimate,,10.76891737470504,7.881490252688436,148.35904852672644,150.77612601178834,0.04137555601541365,9.203079908673152
2,S01,00_04_03_brevemente_43,2000,same topic,3,9.24216970270807,9.317680092436204,0.4570771787110619,e,1_pre_n,brevemente,penultimate,,-200.0,,136.06266598318194,133.40856177426406,0.07551038972813373,9.279924897572137
3,S01,00_04_03_brevemente_43,2000,same topic,2,9.393190482164336,9.442841149382835,0.3060563992547962,e,n,brevemente,penultimate,whisper,-200.0,,,,0.04965066721849887,9.418015815773586
4,S01,00_04_03_brevemente_43,2000,same topic,1,9.562830261827537,9.699246881419132,0.13641661959159457,e,1_post_m,brevemente,penultimate,whisper,-200.0,,,,0.13641661959159457,9.631038571623336
0,S01,21_07_06_diario_122,2021,new topic,5,7.649737730035279,7.704900406925543,0.9075806375416962,i,3_pre_n,repiten,,,11.264818493454488,9.82278541343818,172.76494022093794,172.67983924806185,0.055162676890263995,7.677319068480411
1,S01,21_07_06_diario_122,2021,new topic,4,7.783330001418061,7.855637834639082,0.7739883661589149,e,2_pre_n,repiten,,,10.60989999449592,9.416140750112916,177.2060560706783,178.04656512873032,0.07230783322102141,7.819483918028571
2,S01,21_07_06_diario_122,2021,new topic,3,8.139546742005583,8.194709418895847,0.41777162557139214,a,1_pre_n,a,,,5.529568595899355,5.730249919007063,168.7656825687282,167.26377577977567,0.055162676890263995,8.167128080450716
3,S01,21_07_06_diario_122,2021,new topic,2,8.233676311263615,8.362637704534096,0.3236420563133606,ia,n,diario,penultimate,whisper,2.1045595713343688,2.2880949462009643,151.81959189626394,154.01678410791308,0.1289613932704814,8.298157007898855
4,S01,21_07_06_diario_122,2021,new topic,1,8.417054939844762,8.557318367576976,0.14026342773221323,io,1_post_n,diario,penultimate,whisper,-12.039045242551891,-1.6911484243535915,,,0.14026342773221323,8.487186653710868
0,S01,21_07_20_carcel_304,2021,new topic,5,8.715535723784326,8.793523532761505,1.0636138421271308,ie,3_pre_n,siete,,,14.535342258364789,9.941375742295017,180.18027339589815,181.77928619864753,0.07798780897717883,8.754529628272916
1,S01,21_07_20_carcel_304,2021,new topic,4,8.860158708654051,8.970712523203051,0.9189908572574055,ea,2_pre_n,años,,,7.562605874713417,7.6481542649949175,135.18473439825814,138.0738341454062,0.11055381454900015,8.915435615928551
2,S01,21_07_20_carcel_304,2021,new topic,3,9.186971985356207,9.2324050598284,0.5921775805552496,e,1_pre_n,de,,,11.669019227704428,5.067801831171818,133.44793571057207,131.86911124189558,0.045433074472192914,9.209688522592304
3,S01,21_07_20_carcel_304,2021,new topic,2,9.314184593878345,9.397478563744029,0.46496497203311193,a,n,cárcel,penultimate,whisper,-200.0,,,,0.08329396986568405,9.355831578811188
4,S01,21_07_20_carcel_304,2021,new topic,1,9.515604557371727,9.633730550999424,0.2635450085397295,e,1_post_n,cárcel,penultimate,whisper,-200.0,,,,0.1181259936276966,9.574667554185575
0,S01,93_01_28_autonomico_194,1993,new topic,5,6.340591024524097,6.437354335240988,0.6017121637200447,oau,2_pre_n,autonómico,antepenultimate,,18.033995123938713,13.169497500273856,152.19305222349425,151.6511557184716,0.0967633107168906,6.388972679882542
1,S01,93_01_28_autonomico_194,1993,new topic,4,6.4992194027485075,6.555532477018173,0.44308378549563443,o,1_pre_n,autonómico,antepenultimate,,9.78541531828676,10.542836394469614,138.961545839035,139.26262938871088,0.056313074269665364,6.52737593988334
2,S01,93_01_28_autonomico_194,1993,new topic,3,6.591223862118666,6.65864092286404,0.3510793261254763,o,n,autonómico,antepenultimate,creaky,-200.0,,,,0.06741706074537479,6.624932392491353
3,S01,93_01_28_autonomico_194,1993,new topic,2,6.722885416044926,6.78633676733469,0.21941777219921565,i,1_post_n,autonómico,antepenultimate,creaky,-200.0,,,,0.06345135128976409,6.754611091689808
4,S01,93_01_28_autonomico_194,1993,new topic,1,6.872789233466994,6.942303188244142,0.06951395477714772,o,2_post_n,autonómico,antepenultimate,whisper,-200.0,,,,0.06951395477714772,6.907546210855568
0,S01,10_12_21_seno_106,2010,adjacent topic,5,8.51346987040187,8.64998615306543,1.2728868292034026,a,3_pre_n,perfilar,,,3.3470916786182374,7.348336062147069,147.07390266818774,147.66159227508956,0.13651628266356042,8.58172801173365
1,S01,10_12_21_seno_106,2010,adjacent topic,4,9.248715587915713,9.293619316008984,0.5376411116895596,e,2_pre_n,en,,,1.6005621186372343,3.62545615948636,76.29708086299998,87.96064625615182,0.0449037280932707,9.271167451962349
2,S01,10_12_21_seno_106,2010,adjacent topic,3,9.34676649266745,9.388203274468966,0.43959020693782236,e,1_pre_n,el,,,13.168023577457,12.222951663114479,145.3900387518029,146.45256284947195,0.04143678180151511,9.367484883568208
3,S01,10_12_21_seno_106,2010,adjacent topic,2,9.539933603553637,9.62151037200359,0.24642309605163604,e,n,seno*,penultimate,whisper,3.8577903378961027,2.163317748540198,132.70125984679456,132.97537632861992,0.08157676844995265,9.580721987778613
4,S01,10_12_21_seno_106,2010,adjacent topic,1,9.677359947475198,9.786356699605273,0.10899675213007498,o,1_post_n,seno*,penultimate,whisper,-3.423954581857889,-3.3608460855453397,,,0.10899675213007498,9.731858323540235
0,S01,21_07_12_sanchez_202,2021,adjacent topic,5,9.181767128259068,9.244450168383636,0.9222528472769564,o,3_pre_n,gobierno,,,9.021133082768475,6.766083935559233,155.5095927209269,154.68389512269044,0.06268304012456838,9.213108648321352
1,S01,21_07_12_sanchez_202,2021,adjacent topic,4,9.32312896030577,9.37685728041254,0.7808910152302548,e,2_pre_n,Pedro,,,10.171378130827593,8.443491987509146,147.52311331644535,148.77536435421158,0.053728320106770866,9.349993120359155
2,S01,21_07_12_sanchez_202,2021,adjacent topic,3,9.442525227209707,9.493268640643882,0.6614947483263176,o,1_pre_n,Pedro,,,6.028591105141951,4.434825667588049,141.743526961501,142.04856283434265,0.050743413434174656,9.467896933926795
3,S01,21_07_12_sanchez_202,2021,adjacent topic,2,9.605806874672945,9.687891808169402,0.49821310086307946,a,n,Sanchez,penultimate,creaky,-9.118025259182128,-3.800696991279979,,,0.08208493349645707,9.646849341421174
4,S01,21_07_12_sanchez_202,2021,adjacent topic,1,9.816242795091135,9.92593811530913,0.2877771804448894,e,1_post_n,Sanchez,penultimate,whisper,19.63269933005294,1.3122939823538617,,,0.10969532021799466,9.871090455200132
0,S01,21_05_10_oficina_270,2021,same topic,5,7.7590792728387985,7.858590816911708,0.6416851157905885,ye,3_pre_n,y,,,14.528254527277834,12.026871581686018,174.66933922135965,172.1287413121335,0.09951154407290907,7.808835044875253
1,S01,21_05_10_oficina_270,2021,same topic,4,7.91566361424764,7.96688279134399,0.48510077438174726,a,2_pre_n,la,,,16.098744271182788,12.710460929345983,142.59941716981626,142.62432235526896,0.0512191770963506,7.941273202795815
2,S01,21_05_10_oficina_270,2021,same topic,3,8.050296879758045,8.108833082153874,0.3504675088713416,i,1_pre_n,oficina,penultimate,whisper,-200.0,,137.80524635190525,134.54360603187064,0.05853620239582824,8.07956498095596
3,S01,21_05_10_oficina_270,2021,same topic,2,8.158588854190329,8.224442081885636,0.24217553443905793,i,n,oficina,penultimate,whisper,-200.0,,,,0.06585322769530677,8.191515468037982
4,S01,21_05_10_oficina_270,2021,same topic,1,8.285905094401254,8.400764388629387,0.11485929422813257,a,1_post_n,oficina,penultimate,whisper,-200.0,,,,0.11485929422813257,8.34333474151532
0,S01,21_07_08_climatico_185,2021,adjacent topic,5,8.783470933156167,8.875130021537512,0.6895749157505335,io,2_pre_n,cambio,,,11.88424321203396,15.624404711746585,138.88803931763218,139.24801707116316,0.09165908838134484,8.82930047734684
1,S01,21_07_08_climatico_185,2021,adjacent topic,4,8.959279958179163,9.027474319934884,0.5137658907275373,i,1_pre_n,climatico,antepenultimate,,13.422045395158047,13.549970615793624,145.0758799885495,140.47944266140462,0.06819436175572058,8.993377139057024
2,S01,21_07_08_climatico_185,2021,adjacent topic,3,9.10200985913902,9.16067167570308,0.37103598976768026,a,n,climatico,antepenultimate,creaky,-200.0,,,87.96323506258373,0.05866181656405978,9.131340767421051
3,S01,21_07_08_climatico_185,2021,adjacent topic,2,9.251597491377373,9.299993490042723,0.22144835752932757,i,1_post_n,climatico,antepenultimate,whisper,-200.0,,,,0.048395998665350604,9.275795490710049
4,S01,21_07_08_climatico_185,2021,adjacent topic,1,9.391066915240488,9.4730458489067,0.08197893366621223,o,2_post_n,climatico,antepenultimate,whisper,-200.0,,,,0.08197893366621223,9.432056382073593
0,S01,21_07_14_acuerdo_239,2021,same topic,5,8.855936776867724,8.928478959021353,0.7842916018206125,a,3_pre_n,alejan,,,9.583315085500319,6.109126605394161,141.9039275864346,142.18894293704014,0.0725421821536294,8.892207867944538
1,S01,21_07_14_acuerdo_239,2021,same topic,4,8.99648725479038,9.056939073251737,0.6437411238979571,e,2_pre_n,ese,,,9.27229618006508,10.10551388292313,121.99589933897863,122.67756059828116,0.06045181846135783,9.026713164021057
2,S01,21_07_14_acuerdo_239,2021,same topic,3,9.159707164636044,9.238294528635809,0.48052121405229187,ea,1_pre_n,acuerdo,penultimate,,0.30134446277932314,3.0034745233878404,,114.5401495662171,0.07858736399976429,9.199000846635926
3,S01,21_07_14_acuerdo_239,2021,same topic,2,9.327064122792368,9.407162782253668,0.31316425589596797,ue,n,acuerdo,penultimate,creaky,3.2590561686407464,2.1325454068674308,,,0.08009865946129935,9.367113452523018
4,S01,21_07_14_acuerdo_239,2021,same topic,1,9.549224555637856,9.640228378688336,0.09100382305047994,o,1_post_n,acuerdo,penultimate,whisper,-167.74074345047856,-0.05667405084053374,,,0.09100382305047994,9.594726467163095
0,S01,10_12_21_cancer_111,2010,same topic,5,8.787252185931594,8.847329483062612,0.862593146194083,i,3_pre_n,niño,,,15.365062034829618,15.992662171866623,150.1489605822049,149.35896399069247,0.06007729713101817,8.817290834497104
1,S01,10_12_21_cancer_111,2010,same topic,4,8.934899780575623,8.985192284730019,0.7149455515500538,o,2_pre_n,niño,,,12.7344280285952,9.793389194876964,129.3166160657133,128.65953360878567,0.050292504154395345,8.960046032652821
2,S01,10_12_21_cancer_111,2010,same topic,3,9.054638163159698,9.157249917933568,0.5952071689659792,o,1_pre_n,con,,,12.066449747765335,10.259513491403492,126.33835069214898,127.45832204190755,0.10261175477386963,9.105944040546632
3,S01,10_12_21_cancer_111,2010,same topic,2,9.189481513861628,9.300602423236368,0.4603638182640495,a,n,cáncer,penultimate,creaky,-199.57004182363067,4.447027191191539,104.96031969788932,106.05367754042315,0.1111209093747405,9.245041968548998
4,S01,10_12_21_cancer_111,2010,same topic,1,9.4491798189172,9.545318133769502,0.20066551320847736,e,1_post_n,cáncer,penultimate,whisper,10.006164454907841,6.697598524662959,114.47133960186193,113.30030013798344,0.09613831485230229,9.49724897634335
0,S01,21_06_08_vacunas_95,2021,adjacent topic,5,8.655505648002528,8.850655109235511,1.0434636651384928,e,3_pre_n,DJ,,,13.17903452350002,12.27635160723269,162.617660860214,163.2153720235267,0.19514946123298316,8.75308037861902
1,S01,21_06_08_vacunas_95,2021,adjacent topic,4,9.029553653749234,9.071529198240857,0.6694156593917864,y,2_pre_n,y,,,7.457531545445595,8.12301274931243,187.54780767366012,180.75075710897303,0.04197554449162233,9.050541425995046
2,S01,21_06_08_vacunas_95,2021,adjacent topic,3,9.108349851303684,9.176099852939284,0.5906194618373366,a,1_pre_n,vacunas,penultimate,,11.92411065978849,9.091701165914557,184.3526810907876,182.68668331165964,0.0677500016356003,9.142224852121483
3,S01,21_06_08_vacunas_95,2021,adjacent topic,2,9.266180761430197,9.320675327963182,0.4327885517108232,u,n,vacunas,penultimate,,-1.3321421654364531,1.2385081136016292,,,0.05449456653298412,9.29342804469669
4,S01,21_06_08_vacunas_95,2021,adjacent topic,1,9.394830718842071,9.480991047009086,0.3041385942989496,a,1_post_n,vacunas,penultimate,whisper,-200.0,,,,0.08616032816701491,9.437910882925578
0,S01,21_07_20_zona_301,2021,new topic,5,8.34047540121291,8.431253346958533,1.0870753680569507,a,3_pre_n,meteorológicas,,,11.230698417480053,7.265969066278496,166.57779808696,165.88944700312393,0.09077794574562326,8.38586437408572
1,S01,21_07_20_zona_301,2021,new topic,4,8.726807207284418,8.82576253965305,0.7007435619854423,e,2_pre_n,de,,,12.533403692849562,10.845522686143813,174.68377490642024,176.77057868534564,0.0989553323686323,8.776284873468734
2,S01,21_07_20_zona_301,2021,new topic,3,8.917361973118558,8.975365885476506,0.5101887961513025,a,1_pre_n,esa,,,2.074786235587994,2.9264124072980313,175.9481009937015,178.05719540491057,0.05800391235794855,8.946363929297533
3,S01,21_07_20_zona_301,2021,new topic,2,9.075890970221902,9.16374983746997,0.3516597990479582,o,n,zona,penultimate,whisper,3.259809475328505,0.6584994445987574,108.44046492912334,108.41052052612224,0.0878588672480678,9.119820403845935
4,S01,21_07_20_zona_301,2021,new topic,1,9.308759618364839,9.42755076926986,0.11879115090502168,a,1_post_n,zona,penultimate,whisper,-200.0,0.8102849158412937,,,0.11879115090502168,9.36815519381735
